type,capacity,thresh,sen-to-peers,state,windspeed_avg,windspeed,yearly_demand(MWh),invested,invest_year,subsidy at invest year,estimation_2019,estimation_2020,estimation_2021,estimation_2022,estimation_2023,estimation_2024,estimation_2025,estimation_2026,estimation_2027,estimation_2028,estimation_2029,estimation_2030,estimation_2031,estimation_2032,estimation_2033,estimation_2034,estimation_2035,estimation_2036,estimation_2037,estimation_2038,estimation_2039,estimation_2040,estimation_2041,estimation_2042,estimation_2043,estimation_2044,estimation_2045,estimation_2046,estimation_2047,estimation_2048,estimation_2049,estimation_2050
L,35.0,0.04268994954656605,1.0,Hessen,6.4,5.973690036945533,305188.28060325,False,2051,53.879999999999995,"(-51.110426661089576, -0.31226839284494545, False)","(-50.24097792825383, -0.3071624555466801, False)","(-50.31452226959982, -0.3061964886662657, False)","(-49.61543360098422, -0.30207686419553775, False)","(-48.95571242930942, -0.29820000952415027, False)","(-48.32537256093222, -0.2945054774841457, False)","(-47.717109231500594, -0.2909490791259435, False)","(-47.070739336808, -0.2872598424176561, False)","(-46.43404875554614, -0.28363570468997723, False)","(-45.80362615656695, -0.28005612613996866, False)","(-45.17671805388108, -0.2765045264555836, False)","(-44.55105380232283, -0.2729672243322925, False)","(-46.47725512827964, -0.28069495117842047, False)","(-45.96803739499873, -0.2777425631684013, False)","(-45.46103591107309, -0.2748070445044992, False)","(-44.551966652869375, -0.269443476988777, False)","(-43.64325896690928, -0.26408330880832126, False)","(-41.469563429242605, -0.2511489562305604, False)","(-39.29204886953001, -0.23817928417730774, False)","(-37.109957043772084, -0.22516838830904481, False)","(-34.92257084016092, -0.21211049021855463, False)","(-32.72920298311301, -0.19899985959897704, False)","(-33.61565313307725, -0.20084470126949067, False)","(-31.52776246742169, -0.18845265575551978, False)","(-29.437893782559232, -0.1760417745653578, False)","(-28.55557561912308, -0.17084800349815618, False)","(-27.670595024377196, -0.16563727654436194, False)","(-26.78262302501618, -0.16040741329524225, False)","(-25.89133535704789, -0.1551562381984946, False)","(-23.78653358260201, -0.14262699529511863, False)","(-21.67777174397138, -0.1300630552346798, False)","(-19.564725422497595, -0.11746146735054433, False)"
F,42.0,0.06712018916156887,0.45736350062593234,Bremen,7.0,7.053601656996653,366225.93672389997,True,2025,6.88,"(2.087239003424008, 0.015694723510728002, False)","(3.130577482826894, 0.02356332427573204, False)","(5.883649572753402, 0.044939372603482984, False)","(6.722555975092131, 0.051381476527101434, False)","(7.514221381101877, 0.05747287127835186, False)","(8.27062922315452, 0.06330525853006613, False)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)","(9.000545218472473, 0.06894594899925623, True)"
T,42.0,0.1000416470060723,0.887269864556125,Brandenburg,6.7,6.612116597125753,366225.93672389997,True,2048,48.879999999999995,"(-22.292395438103757, -0.1416564006277446, False)","(-21.24905695870087, -0.1351397158414049, False)","(-20.005274346540848, -0.12757401327456633, False)","(-19.16636794420212, -0.12229290515507979, False)","(-18.374702538192373, -0.11731075410301121, False)","(-17.61829469613973, -0.11255127365532641, False)","(-16.888378700821775, -0.10795858124220227, False)","(-16.11273482719066, -0.1031140625466696, False)","(-15.34870612967642, -0.09833868102854314, False)","(-14.592199010901416, -0.09360588433900631, False)","(-13.839909287678353, -0.08889403817161354, False)","(-13.089112185808483, -0.08418509102867221, False)","(-12.553156666611518, -0.08074040022667933, False)","(-11.94209538667443, -0.07685361785397661, False)","(-11.33369360596365, -0.07298162380017063, False)","(-10.2428104961192, -0.06599826890806192, False)","(-9.152361272967093, -0.059010821967237406, False)","(-6.543926627767068, -0.042239667969155875, False)","(-3.9309091561119707, -0.025402906246586057, False)","(-1.312398965202453, -0.008491622092225785, False)","(1.3124644791309288, 0.008503038507984294, False)","(3.944505907588426, 0.02558997611408486, False)","(5.038602203558257, 0.03240920175203012, False)","(7.544071002344939, 0.048552307238272696, False)","(10.051913424179887, 0.0647308232412167, False)","(11.110695220303263, 0.0715937301800219, False)","(12.172671933998318, 0.07848827594882286, False)","(13.238238333231548, 0.08541785102836973, False)","(14.307783534793497, 0.09238587599874888, False)","(16.833545664128543, 0.10877762706301507, True)","(16.833545664128543, 0.10877762706301507, True)","(16.833545664128543, 0.10877762706301507, True)"
L,21.0,0.04058824327410866,1.0,Schleswig-Holstein,7.3,7.49937554233212,183112.96836194998,True,2021,6.88,"(1.043619501712004, 0.015694723510728002, False)","(1.565288741413447, 0.02356332427573204, False)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)","(2.941824786376701, 0.044939372603482984, True)"
F,17.5,0.06781594390063705,0.5369613471250247,Saarland,6.3,6.499711533960333,152594.140301625,True,2043,40.879999999999995,"(-9.288498099209908, -0.14165640062774465, False)","(-8.853773732792037, -0.13513971584140497, False)","(-8.335530977725362, -0.12757401327456644, False)","(-7.98598664341756, -0.1222929051550799, False)","(-7.656126057580162, -0.11731075410301127, False)","(-7.340956123391564, -0.11255127365532654, False)","(-7.03682445867575, -0.1079585812422024, False)","(-6.713639511329451, -0.10311406254666974, False)","(-6.395294220698521, -0.09833868102854329, False)","(-6.08008292120893, -0.09360588433900638, False)","(-5.766628869865989, -0.08889403817161366, False)","(-5.453796744086873, -0.08418509102867228, False)","(-5.2304819444214665, -0.08074040022667936, False)","(-4.975873077781011, -0.0768536178539766, False)","(-4.7223723358181875, -0.07298162380017063, False)","(-4.267837706716332, -0.0659982689080619, False)","(-3.813483863736291, -0.059010821967237455, False)","(-2.7266360949029464, -0.04223966796915589, False)","(-1.6378788150466554, -0.025402906246586077, False)","(-0.5468329021676898, -0.008491622092225804, False)","(0.5468601996378897, 0.00850303850798434, False)","(1.643544128161848, 0.025589976114084926, False)","(2.0994175848159453, 0.032409201752030194, False)","(3.143362917643723, 0.04855230723827267, False)","(4.188297260074955, 0.06473082324121675, True)","(4.188297260074955, 0.06473082324121675, True)","(4.188297260074955, 0.06473082324121675, True)","(4.188297260074955, 0.06473082324121675, True)","(4.188297260074955, 0.06473082324121675, True)","(4.188297260074955, 0.06473082324121675, True)","(4.188297260074955, 0.06473082324121675, True)","(4.188297260074955, 0.06473082324121675, True)"
T,38.5,0.11272314791069254,0.727293396717575,Berlin,6.7,6.437199953780588,335707.10866357497,True,2049,52.879999999999995,"(-20.434695818261794, -0.14165640062774468, False)","(-19.47830221214248, -0.13513971584140497, False)","(-18.338168150995802, -0.12757401327456647, False)","(-17.569170615518637, -0.12229290515507994, False)","(-16.843477326676364, -0.11731075410301131, False)","(-16.15010347146145, -0.1125512736553266, False)","(-15.481013809086656, -0.10795858124220245, False)","(-14.7700069249248, -0.1031140625466698, False)","(-14.06964728553675, -0.09833868102854335, False)","(-13.376182426659655, -0.09360588433900648, False)","(-12.686583513705182, -0.0888940381716137, False)","(-11.99835283699113, -0.08418509102867236, False)","(-11.507060277727224, -0.08074040022667935, False)","(-10.946920771118231, -0.07685361785397665, False)","(-10.389219138800014, -0.07298162380017066, False)","(-9.389242954775927, -0.0659982689080619, False)","(-8.389664500219837, -0.05901082196723745, False)","(-5.99859940878648, -0.04223966796915588, False)","(-3.6033333931026483, -0.025402906246586122, False)","(-1.2030323847689157, -0.00849162209222579, False)","(1.2030924392033526, 0.008503038507984303, False)","(3.615797081956061, 0.025589976114084898, False)","(4.618718686595072, 0.03240920175203014, False)","(6.915398418816189, 0.04855230723827266, False)","(9.214253972164903, 0.06473082324121675, False)","(10.184803951944666, 0.07159373018002196, False)","(11.158282606165132, 0.0784882759488229, False)","(12.135051805462265, 0.08541785102836982, False)","(13.115468240227381, 0.09238587599874896, False)","(15.430750192117841, 0.10877762706301514, False)","(17.75038821461154, 0.1252298799665439, True)","(17.75038821461154, 0.1252298799665439, True)"
L,49.0,0.04971321404986601,1.0,Schleswig-Holstein,7.3,7.690807844420683,427263.5928445499,True,2019,6.88,"(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)","(19.45512422452947, 0.14084156624672642, True)"
F,21.0,0.0664718719085403,0.40289906804471504,Sachsen-Anhalt,6.7,6.657624415944788,183112.96836194998,True,2042,36.879999999999995,"(-11.146197719051878, -0.1416564006277446, False)","(-10.624528479350435, -0.1351397158414049, False)","(-10.002637173270424, -0.12757401327456633, False)","(-9.58318397210106, -0.12229290515507979, False)","(-9.187351269096187, -0.11731075410301121, False)","(-8.809147348069866, -0.11255127365532641, False)","(-8.444189350410888, -0.10795858124220227, False)","(-8.05636741359533, -0.1031140625466696, False)","(-7.67435306483821, -0.09833868102854314, False)","(-7.296099505450708, -0.09360588433900631, False)","(-6.919954643839176, -0.08889403817161354, False)","(-6.544556092904242, -0.08418509102867221, False)","(-6.276578333305759, -0.08074040022667933, False)","(-5.971047693337215, -0.07685361785397661, False)","(-5.666846802981825, -0.07298162380017063, False)","(-5.1214052480596, -0.06599826890806192, False)","(-4.576180636483547, -0.059010821967237406, False)","(-3.271963313883534, -0.042239667969155875, False)","(-1.9654545780559853, -0.025402906246586057, False)","(-0.6561994826012265, -0.008491622092225785, False)","(0.6562322395654644, 0.008503038507984294, False)","(1.972252953794213, 0.02558997611408486, False)","(2.5193011017791287, 0.03240920175203012, False)","(3.7720355011724696, 0.048552307238272696, True)","(3.7720355011724696, 0.048552307238272696, True)","(3.7720355011724696, 0.048552307238272696, True)","(3.7720355011724696, 0.048552307238272696, True)","(3.7720355011724696, 0.048552307238272696, True)","(3.7720355011724696, 0.048552307238272696, True)","(3.7720355011724696, 0.048552307238272696, True)","(3.7720355011724696, 0.048552307238272696, True)","(3.7720355011724696, 0.048552307238272696, True)"
T,45.5,0.1117397529029787,0.8827889197720171,Bayern,5.8,5.930086109579189,396744.764784225,False,2051,53.879999999999995,"(-66.44355465941644, -0.3122683928449454, False)","(-65.31327130672994, -0.3071624555466799, False)","(-65.40887895047973, -0.30619648866626553, False)","(-64.50006368127946, -0.3020768641955376, False)","(-63.642426158102225, -0.29820000952415004, False)","(-62.82298432921186, -0.2945054774841456, False)","(-62.03224200095075, -0.2909490791259434, False)","(-61.191961137850356, -0.2872598424176559, False)","(-60.36426338220995, -0.2836357046899771, False)","(-59.54471400353702, -0.28005612613996855, False)","(-58.72973347004537, -0.27650452645558343, False)","(-57.91636994301968, -0.2729672243322925, False)","(-60.42043166676353, -0.2806949511784204, False)","(-59.75844861349836, -0.2777425631684013, False)","(-59.099346684395, -0.27480704450449916, False)","(-57.917556648730184, -0.269443476988777, False)","(-56.736236656982065, -0.26408330880832126, False)","(-53.910432458015386, -0.2511489562305604, False)","(-51.07966353038902, -0.23817928417730777, False)","(-48.242944156903704, -0.22516838830904476, False)","(-45.39934209220921, -0.21211049021855466, False)","(-42.547963878046914, -0.198999859598977, False)","(-43.70034907300042, -0.20084470126949067, False)","(-40.98609120764819, -0.18845265575551978, False)","(-38.26926191732698, -0.17604177456535774, False)","(-37.12224830485999, -0.17084800349815615, False)","(-35.97177353169034, -0.16563727654436192, False)","(-34.817409932521, -0.16040741329524213, False)","(-33.65873596416225, -0.15515623819849458, False)","(-30.922493657382596, -0.14262699529511857, False)","(-28.181103267162765, -0.13006305523467968, False)","(-25.43414304924686, -0.1174614673505443, False)"
L,35.0,0.04976303769553494,1.0,Berlin,6.7,6.941283770248555,305188.28060325,True,2022,6.88,"(1.7393658361866913, 0.01569472351072817, False)","(2.608814569022433, 0.02356332427573224, False)","(4.903041310627822, 0.04493937260348285, False)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)","(5.602129979243429, 0.0513814765271013, True)"
F,28.0,0.06541274266384657,0.24553296045177486,Brandenburg,6.7,6.6308515020195475,244150.62448259996,True,2040,28.88,"(-14.861596958735863, -0.14165640062774476, False)","(-14.166037972467269, -0.13513971584140505, False)","(-13.336849564360582, -0.12757401327456644, False)","(-12.7775786294681, -0.12229290515507996, False)","(-12.249801692128274, -0.1173107541030114, False)","(-11.745529797426512, -0.1125512736553266, False)","(-11.258919133881214, -0.10795858124220253, False)","(-10.741823218127136, -0.10311406254666987, False)","(-10.232470753117642, -0.0983386810285434, False)","(-9.728132673934292, -0.09360588433900642, False)","(-9.226606191785592, -0.08889403817161375, False)","(-8.726074790539009, -0.0841850910286724, False)","(-8.368771111074322, -0.08074040022667914, False)","(-7.961396924449602, -0.07685361785397647, False)","(-7.555795737309081, -0.07298162380017048, False)","(-6.828540330746112, -0.06599826890806174, False)","(-6.101574181978042, -0.05901082196723724, False)","(-4.362617751844695, -0.04223966796915572, False)","(-2.620606104074635, -0.025402906246585956, False)","(-0.8749326434682794, -0.008491622092225568, False)","(0.874976319420638, 0.00850303850798448, False)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)","(2.6296706050589704, 0.025589976114085068, True)"
T,17.5,0.12025267682319171,0.8500036370293985,Sachsen-Anhalt,6.7,6.9345602417088985,152594.140301625,True,2031,6.88,"(0.8696829180933456, 0.01569472351072817, False)","(1.3044072845112165, 0.02356332427573224, False)","(2.451520655313911, 0.04493937260348285, False)","(2.8010649896217146, 0.0513814765271013, False)","(3.1309255754591105, 0.05747287127835175, False)","(3.4460955096477095, 0.06330525853006598, False)","(3.750227174363522, 0.06894594899925605, False)","(4.073412121709821, 0.07498667510678336, False)","(4.391757412340753, 0.08095957234198738, False)","(4.706968711830344, 0.08689732384968088, False)","(5.020422763173282, 0.09282679825322064, False)","(5.333254888952401, 0.0987706516685628, False)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)","(6.857890707600251, 0.13014779628174986, True)"
L,38.5,0.04518997304333307,1.0,Bayern,5.8,5.619691455872981,335707.10866357497,False,2051,53.879999999999995,"(-56.22146932719855, -0.31226839284494556, False)","(-55.26507572107922, -0.30716245554668015, False)","(-55.34597449655977, -0.30619648866626553, False)","(-54.576976961082615, -0.30207686419553764, False)","(-53.851283672240335, -0.2982000095241501, False)","(-53.15790981702541, -0.2945054774841456, False)","(-52.488820154650625, -0.2909490791259434, False)","(-51.77781327048876, -0.28725984241765595, False)","(-51.077453631100724, -0.2836357046899772, False)","(-50.38398877222363, -0.2800561261399686, False)","(-49.69438985926915, -0.2765045264555835, False)","(-49.00615918255509, -0.2729672243322924, False)","(-51.124980641107605, -0.2806949511784205, False)","(-50.5648411344986, -0.27774256316840124, False)","(-50.0071395021804, -0.27480704450449916, False)","(-49.00716331815631, -0.26944347698877696, False)","(-48.007584863600215, -0.26408330880832126, False)","(-45.61651977216686, -0.2511489562305604, False)","(-43.22125375648303, -0.23817928417730785, False)","(-40.8209527481493, -0.22516838830904487, False)","(-38.414827924177025, -0.21211049021855463, False)","(-36.00212328142433, -0.1989998595989771, False)","(-36.97721844638499, -0.20084470126949075, False)","(-34.68053871416386, -0.1884526557555198, False)","(-32.38168316081515, -0.1760417745653578, False)","(-31.411133181035392, -0.17084800349815626, False)","(-30.437654526814928, -0.16563727654436208, False)","(-29.46088532751779, -0.16040741329524225, False)","(-28.480468892752672, -0.15515623819849458, False)","(-26.165186940862217, -0.14262699529511869, False)","(-23.845548918368515, -0.1300630552346798, False)","(-21.52119796474736, -0.1174614673505444, False)"
F,24.5,0.07051238233002063,0.419988546432974,Baden-Württemberg,6.1,5.969991195677291,213631.79642227496,False,2051,53.879999999999995,"(-35.77729866276268, -0.31226839284494523, False)","(-35.168684549777666, -0.3071624555466799, False)","(-35.22016558871988, -0.3061964886662656, False)","(-34.73080352068896, -0.30207686419553775, False)","(-34.26899870051659, -0.2982000095241501, False)","(-33.827760792652555, -0.29450547748414563, False)","(-33.40197646205041, -0.29094907912594337, False)","(-32.9495175357656, -0.2872598424176561, False)","(-32.5038341288823, -0.2836357046899773, False)","(-32.06253830959687, -0.2800561261399687, False)","(-31.623702637716754, -0.27650452645558354, False)","(-31.18573766162599, -0.27296722433229254, False)","(-32.534078589795776, -0.28069495117842064, False)","(-32.17762617649914, -0.27774256316840146, False)","(-31.822725137751185, -0.27480704450449933, False)","(-31.18637665700858, -0.26944347698877713, False)","(-30.550281276836518, -0.2640833088083214, False)","(-29.028694400469842, -0.25114895623056055, False)","(-27.504434208671036, -0.23817928417730796, False)","(-25.976969930640482, -0.225168388309045, False)","(-24.445799588112678, -0.21211049021855488, False)","(-22.910442088179146, -0.19899985959897734, False)","(-23.53095719315407, -0.2008447012694907, False)","(-22.069433727195165, -0.18845265575551973, False)","(-20.606525647791454, -0.1760417745653578, False)","(-19.988902933386143, -0.17084800349815615, False)","(-19.36941651706403, -0.16563727654436194, False)","(-18.747836117511305, -0.16040741329524213, False)","(-18.12393474993351, -0.15515623819849456, False)","(-16.650573507821395, -0.1426269952951186, False)","(-15.174440220779955, -0.13006305523467976, False)","(-13.695307795748302, -0.11746146735054426, False)"
T,52.5,0.10691369073433797,0.8032535462127651,Bremen,7.0,7.007058813240189,457782.420904875,True,2031,6.88,"(2.609048754280031, 0.015694723510728127, False)","(3.913221853533646, 0.02356332427573222, False)","(7.354561965941736, 0.04493937260348287, False)","(8.403194968865138, 0.05138147652710128, False)","(9.392776726377337, 0.05747287127835179, False)","(10.338286528943131, 0.063305258530066, False)","(11.250681523090567, 0.06894594899925605, False)","(12.220236365129473, 0.07498667510678343, False)","(13.175272237022256, 0.08095957234198739, False)","(14.12090613549103, 0.0868973238496809, False)","(15.061268289519855, 0.09282679825322074, False)","(15.999764666857194, 0.09877065166856278, False)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)","(20.57367212280075, 0.13014779628174983, True)"
L,42.0,0.04208793434051124,1.0,Bremen,7.0,7.231243427774375,366225.93672389997,True,2021,6.88,"(2.087239003424008, 0.015694723510728002, False)","(3.130577482826894, 0.02356332427573204, False)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)","(5.883649572753402, 0.044939372603482984, True)"
F,45.5,0.06289382252386316,0.2670252009175044,Brandenburg,6.7,6.50759736718668,396744.764784225,True,2040,28.88,"(-24.15009505794574, -0.14165640062774457, False)","(-23.019811705259272, -0.1351397158414048, False)","(-21.67238054208594, -0.1275740132745664, False)","(-20.76356527288565, -0.12229290515507986, False)","(-19.905927749708425, -0.1173107541030113, False)","(-19.086485920818063, -0.1125512736553265, False)","(-18.295743592556946, -0.10795858124220238, False)","(-17.45546272945657, -0.1031140625466697, False)","(-16.627764973816156, -0.09833868102854329, False)","(-15.808215595143215, -0.09360588433900638, False)","(-14.993235061651575, -0.08889403817161368, False)","(-14.179871534625876, -0.08418509102867232, False)","(-13.599253055495808, -0.08074040022667933, False)","(-12.937270002230633, -0.07685361785397662, False)","(-12.27816807312728, -0.07298162380017059, False)","(-11.096378037462454, -0.06599826890806186, False)","(-9.91505804571435, -0.05901082196723742, False)","(-7.089253846747657, -0.04223966796915587, False)","(-4.258484919121301, -0.02540290624658605, False)","(-1.4217655456359886, -0.008491622092225773, False)","(1.4218365190585158, 0.008503038507984353, False)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)","(4.273214733220803, 0.02558997611408491, True)"
